,Seat,Constituency_title,Candidate_Name,Party,Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout,Election
0,Peshawar-I,NA-1,Muhammad Yousaf Khattak,PML(Q),44507,79847,2688,82535,150063,0.55,1977
1,Peshawar-I,NA-1,Air Marshal (Retd) Asghar Khan,PNA,33964,79847,2688,82535,150063,0.55,1977
2,Peshawar-I,NA-1,Jan Akbar,IND,1376,79847,2688,82535,150063,0.55,1977
3,Peshawar-II,NA-2,Arbab Mohammad Jehandir Khan,PPP,32247,65825,2155,67980,129733,0.524,1977
4,Peshawar-II,NA-2,Arbab Saif-ur-Rahman,PNA,30268,65825,2155,67980,129733,0.524,1977
5,Peshawar-II,NA-2,M. Nazirullah,PML (Q),2034,65825,2155,67980,129733,0.524,1977
6,Peshawar-II,NA-2,Sqr. Leader (R) Qazi Shah Jehan, IND,674,65825,2155,67980,129733,0.524,1977
7,Peshawar-II,NA-2,M. Aslam Khan, IND,602,65825,2155,67980,129733,0.524,1977
8,Peshawar-III,NA-3,Aftab Ahmed Khan,PPP,40917,75728,2546,78274,135188,0.579,1977
9,Peshawar-III,NA-3,Sardar Sherbaz Khan Mazari,PNA,32216,75728,2546,78274,135188,0.579,1977
10,Peshawar-III,NA-3,Saif-ur-Rahman,IND,2595,75728,2546,78274,135188,0.579,1977
11,Peshawar-IV,NA-4,Begum Naseem Wali Khan,PNA,47832,77170,2271,79441,136262,0.583,1977
12,Peshawar-IV,NA-4,Abdur Rahman Khan, PPP ,25939,77170,2271,79441,136262,0.583,1977
13,Peshawar-IV,NA-4,Said Karim Alias Karimi,IND,1177,77170,2271,79441,136262,0.583,1977
14,Peshawar-IV,NA-4,Abdul Hanan,IND,2222,77170,2271,79441,136262,0.583,1977
15,Peshawar-V,NA-5,Maulana Abdul Haq,PNA,47275,79413,2583,81996,146946,0.558,1977
16,Peshawar-V,NA-5,Nasrullah Khan Khattak, PPP,32138,79413,2583,81996,146946,0.558,1977
17,Mardan-I,NA-6,Khan Mir Afzal Khan,PPP,41745,74129,2403,76532,118105,0.648,1977
18,Mardan-I,NA-6,Dilbar Khan,PNA,30463,74129,2403,76532,118105,0.648,1977
19,Mardan-I,NA-6,Pir Abdul Sattar,PML (Q),1921,74129,2403,76532,118105,0.648,1977
20,Mardan-II,NA-7,Mohammad Yousuf Khan,PNA,31968,65831,2135,67966,124479,0.546,1977
21,Mardan-II,NA-7,Sarfraz Khan,PPP,30667,65831,2135,67966,124479,0.546,1977
22,Mardan-II,NA-7,M. Amin Khan,IND,3196,65831,2135,67966,124479,0.546,1977
23,Mardan-III,NA-8,Begum Naseem Wali Khan,PNA,36585,64976,2170,67146,97881,0.686,1977
24,Mardan-III,NA-8,Abdul Sattar Khan,PPP,21031,64976,2170,67146,97881,0.686,1977
25,Mardan-III,NA-8,Saif-ur-Rahman,PML (Q),7360,64976,2170,67146,97881,0.686,1977
26,Mardan-IV,NA-9,Ali Gohar Khan,PNA,33590,59345,1958,61303,110059,0.557,1977
27,Mardan-IV,NA-9,Haji Abdul Mustaan,PPP,18004,59345,1958,61303,110059,0.557,1977
28,Mardan-IV,NA-9,M. Zaman,PML (Q),7751,59345,1958,61303,110059,0.557,1977
29,Mardan-IV,NA-9,Ali Akbar,IND,,59345,1958,61303,110059,0.557,1977
30,Kohat-I,NA-10,Maulana Habib Gul,PNA,29491,59425,1979,61404,150869,0.407,1977
31,Kohat-I,NA-10,Syed Hassan Jan,PPP,16298,59425,1979,61404,150869,0.407,1977
